Teamwork_TL;Teamwork_M;Monitoring_TL;Monitoring_M;Expertise_TL;Expertise_M;Communication_TL;Communication_M;Coordination_TL;Coordination_M;Members_Present_TL;Members_Present_TM;Shared_Leadership_TL;Shared_Leadership_M;Team_Oriantation_TL;Team_Oriantation_M;Collaboration_TL;Collaboration_M;Team_Distributon_TL;Team_Distributon_M;DailyMeetins_TL;DailyMeetins_M;Personal_Attributes_TL;Personal_Attributes_M;Cohesion_TL;Cohesion_M;Meas_communication_TL;Meas_communication_M;Team learning_TL;Team learning_M;Self_Organizing_TL;Self_Organizing_M;Team_Autonomy_M;Team_Autonomy_M
0,61;0,61;0,9;0,9;0,7;0,7;0,88;0,88;0,87;0,87;0,9;0,9;0,7;0,7;0,73;0,73;0,75;0,75;0,9;0,9;0,87;0,87;0,9;0,9;0,71;0,71;0,9;0,9;0,9;0,9;0,72;0,72;0,1;0,1
0,77;0,75;0,7;0,9;0,9;0,7;0,88;0,88;0,8;0,8;0,9;0,7;0,7;0,9;0,88;0,73;0,8;0,73;0,9;0,9;0,72;0,72;0,9;0,9;0,74;0,72;0,9;0,9;0,7;0,9;0,74;0,77;0,9;0,3
0,76;0,7;0,9;0,9;0,7;0,7;0,88;0,88;0,87;0,8;0,9;0,7;0,9;0,7;0,73;0,73;0,75;0,73;0,9;0,9;0,87;0,72;0,9;0,9;0,73;0,7;0,9;0,9;0,9;0,9;0,77;0,72;0,9;0,7
0,65;0,64;0,9;0,9;0,9;0,7;0,89;0,88;0,54;0,87;0,1;0,9;0,1;0,7;0,88;0,73;0,88;0,75;0,9;0,9;0,2;0,87;0,9;0,9;0,59;0,71;0,9;0,9;0,9;0,9;0,65;0,72;0,9;0,3
0,64;0,6;0,3;0,9;0,7;0,7;0,69;0,88;0,52;0,8;0,7;0,7;0,9;0,7;0,68;0,73;0,54;0,73;0,7;0,9;0,35;0,72;0,7;0,9;0,58;0,7;0,7;0,9;0,7;0,9;0,72;0,72;0,9;0,1
0,59;0,63;0,7;0,7;0,5;0,7;0,69;0,88;0,68;0,78;0,7;0,7;0,7;0,9;0,53;0,73;0,55;0,72;0,7;0,9;0,68;0,68;0,7;0,9;0,53;0,7;0,7;0,9;0,7;0,7;0,57;0,72;0,9;0,3
0,52;0,46;0,7;0,3;0,9;0,5;0,88;0,88;0,78;0,63;0,7;0,9;0,3;0,5;0,56;0,53;0,6;0,53;0,9;0,9;0,68;0,37;0,5;0,7;0,48;0,49;0,9;0,9;0,1;0,5;0,45;0,49;0,7;0,3
0,6;0,56;0,7;0,7;0,5;0,5;0,88;0,88;0,78;0,78;0,7;0,7;0,7;0,5;0,53;0,56;0,57;0,6;0,9;0,9;0,68;0,68;0,7;0,9;0,54;0,53;0,9;0,9;0,7;0,7;0,57;0,52;0,9;0,7
0,51;0,53;0,7;0,7;0,7;0,7;0,88;0,74;0,61;0,71;0,3;0,7;0,3;0,5;0,73;0,73;0,63;0,69;0,9;0,7;0,34;0,68;0,9;0,9;0,55;0,57;0,9;0,9;0,7;0,5;0,54;0,54;0,3;0,3
0,6;0,8;0,9;0,9;0,7;0,9;0,88;0,88;0,87;0,87;0,9;0,9;0,7;0,7;0,73;0,88;0,75;0,85;0,9;0,9;0,87;0,87;0,9;0,9;0,7;0,82;0,9;0,9;0,7;0,9;0,69;0,84;0,1;0,7
0,7;0,52;0,7;0,3;0,7;0,7;0,88;0,74;0,78;0,55;0,7;0,7;0,7;0,9;0,73;0,73;0,72;0,57;0,9;0,7;0,68;0,35;0,9;0,9;0,7;0,61;0,9;0,9;0,9;0,7;0,72;0,72;0,7;0,1
